t_mm,sub-01,sub-02,sub-03,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-10,sub-11,sub-12,sub-13,sub-14,sub-15,sub-16
3.478565886471116642e+00,3.478565886471116642e+00,2.704979395409586651e+00,3.478565886471116642e+00,2.421457800421021211e+00,1.998888276911095829e+00,8.703605427711789133e-01,3.478565886471116642e+00,1.253367411508345519e+00,1.566892767522563013e+00,2.503031004845322371e+00,3.478565886471116642e+00,1.072887833803321200e+00,3.478565886471116642e+00,2.512724592221728059e+00,3.452813204135559921e+00,1.982637266141273891e+00
3.570107094009830284e+00,3.570107094009830284e+00,2.613438187870873008e+00,3.570107094009830284e+00,2.329916592882307569e+00,1.907347069372382187e+00,7.788193352324652707e-01,3.570107094009830284e+00,1.161826203969631877e+00,1.475351559983849370e+00,2.411489797306608729e+00,3.570107094009830284e+00,9.813466262646075577e-01,3.570107094009830284e+00,2.421183384683014417e+00,3.361271996596846279e+00,1.891096058602560248e+00
3.661648301548543927e+00,3.661648301548543927e+00,2.521896980332159366e+00,3.661648301548543927e+00,2.238375385343593926e+00,1.815805861833668544e+00,6.872781276937516282e-01,3.661648301548543927e+00,1.070284996430918234e+00,1.383810352445135727e+00,2.319948589767895086e+00,3.661648301548543927e+00,8.898054187258939152e-01,3.661648301548543927e+00,2.329642177144300774e+00,3.269730789058132636e+00,1.799554851063846606e+00
3.753189509087257569e+00,3.753189509087257569e+00,2.430355772793445723e+00,3.753189509087257569e+00,2.146834177804880284e+00,1.724264654294954902e+00,5.957369201550379856e-01,3.753189509087257569e+00,9.787437888922045914e-01,1.292269144906422085e+00,2.228407382229181444e+00,3.753189509087257569e+00,7.982642111871802726e-01,3.753189509087257569e+00,2.238100969605587132e+00,3.178189581519418994e+00,1.708013643525132963e+00
3.844730716625971212e+00,3.844730716625971212e+00,2.338814565254732081e+00,3.844730716625971212e+00,2.055292970266166641e+00,1.632723446756241259e+00,5.041957126163243430e-01,3.844730716625971212e+00,8.872025813534909489e-01,1.200727937367708442e+00,2.136866174690467801e+00,3.844730716625971212e+00,7.067230036484666300e-01,3.844730716625971212e+00,2.146559762066873489e+00,3.086648373980705351e+00,1.616472435986419320e+00
3.936271924164684854e+00,3.936271924164684854e+00,2.247273357716018438e+00,3.830698826297519233e+00,1.963751762727452999e+00,1.541182239217527616e+00,4.126545050776107004e-01,3.936271924164684854e+00,7.956613738147773063e-01,1.109186729828994800e+00,2.045324967151754159e+00,3.936271924164684854e+00,6.151817961097529874e-01,3.936271924164684854e+00,2.055018554528159846e+00,2.995107166441991708e+00,1.524931228447705678e+00
4.027813131703398497e+00,3.957890096814293379e+00,2.155732150177304796e+00,3.739157618758805590e+00,1.872210555188739356e+00,1.449641031678813974e+00,3.211132975388970578e-01,4.027813131703398497e+00,7.041201662760636637e-01,1.017645522290281157e+00,1.953783759613040516e+00,4.027813131703398497e+00,5.236405885710393449e-01,3.929303245438713788e+00,1.963477346989446204e+00,2.903565958903278066e+00,1.433390020908992035e+00
4.119354339242112140e+00,3.866348889275579737e+00,2.064190942638591153e+00,3.647616411220091948e+00,1.780669347650025713e+00,1.358099824140100331e+00,2.295720900001834153e-01,4.119354339242112140e+00,6.125789587373500211e-01,9.261043147515675145e-01,1.862242552074326873e+00,4.119354339242112140e+00,4.320993810323257023e-01,3.837762037900000145e+00,1.871936139450732561e+00,2.812024751364564423e+00,1.341848813370278393e+00
4.210895546780825782e+00,3.774807681736866094e+00,1.972649735099877510e+00,3.556075203681378305e+00,1.689128140111312071e+00,1.266558616601386689e+00,1.380308824614697727e-01,4.096298017786011769e+00,5.210377511986363785e-01,8.345631072128538719e-01,1.770701344535613231e+00,4.210895546780825782e+00,3.405581734936120597e-01,3.746220830361286502e+00,1.780394931912018919e+00,2.720483543825850781e+00,1.250307605831564750e+00
4.302436754319539425e+00,3.683266474198152451e+00,1.881108527561163868e+00,3.464533996142664662e+00,1.597586932572598428e+00,1.175017409062673046e+00,4.648967492275613012e-02,4.004756810247298127e+00,4.294965436599227360e-01,7.430218996741402293e-01,1.679160136996899588e+00,4.302436754319539425e+00,2.490169659548984171e-01,3.654679622822572860e+00,1.688853724373305276e+00,2.628942336287137138e+00,1.158766398292851107e+00
