t_mm,sub-01,sub-02,sub-03,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-10,sub-11,sub-12,sub-13,sub-14,sub-15,sub-16
3.393375900191430539e+00,3.393375900191430539e+00,3.164062624110569821e+00,3.393375900191430539e+00,2.771038102777545475e+00,2.351186746346598078e+00,1.606624099808569461e+00,3.393375900191430539e+00,1.705643613401353953e+00,2.522703882908185591e+00,3.009748337241417993e+00,3.393375900191430539e+00,1.606624099808569461e+00,3.393375900191430539e+00,2.931179420145328507e+00,3.393375900191430539e+00,2.437575994653870204e+00
3.490329497339757392e+00,3.490329497339757392e+00,3.067109026962242968e+00,3.490329497339757392e+00,2.674084505629218622e+00,2.254233149198271224e+00,1.509670502660242608e+00,3.490329497339757392e+00,1.608690016253027100e+00,2.425750285759858738e+00,2.912794740093091139e+00,3.490329497339757392e+00,1.509670502660242608e+00,3.490329497339757392e+00,2.834225822997001654e+00,3.490329497339757392e+00,2.340622397505543351e+00
3.587283094488083801e+00,3.587283094488083801e+00,2.970155429813916559e+00,3.587283094488083801e+00,2.577130908480892213e+00,2.157279552049944815e+00,1.412716905511916199e+00,3.587283094488083801e+00,1.511736419104700690e+00,2.328796688611532328e+00,2.815841142944764730e+00,3.587283094488083801e+00,1.412716905511916199e+00,3.587283094488083801e+00,2.737272225848675244e+00,3.587283094488083801e+00,2.243668800357216941e+00
3.684236691636410210e+00,3.684236691636410210e+00,2.873201832665590150e+00,3.684236691636410210e+00,2.480177311332565804e+00,2.060325954901618406e+00,1.315763308363589790e+00,3.684236691636410210e+00,1.414782821956374281e+00,2.231843091463205919e+00,2.718887545796438321e+00,3.684236691636410210e+00,1.315763308363589790e+00,3.684236691636410210e+00,2.640318628700348835e+00,3.595873197644107844e+00,2.146715203208890532e+00
3.781190288784737064e+00,3.781190288784737064e+00,2.776248235517263296e+00,3.781190288784737064e+00,2.383223714184238951e+00,1.963372357753291553e+00,1.218809711215262936e+00,3.781190288784737064e+00,1.317829224808047428e+00,2.134889494314879066e+00,2.621933948648111468e+00,3.781190288784737064e+00,1.218809711215262936e+00,3.781190288784737064e+00,2.543365031552021982e+00,3.498919600495780990e+00,2.049761606060563679e+00
3.878143885933063473e+00,3.878143885933063473e+00,2.679294638368936887e+00,3.878143885933063473e+00,2.286270117035912541e+00,1.866418760604965144e+00,1.121856114066936527e+00,3.878143885933063473e+00,1.220875627659721019e+00,2.037935897166552657e+00,2.524980351499785058e+00,3.878143885933063473e+00,1.121856114066936527e+00,3.878143885933063473e+00,2.446411434403695573e+00,3.401966003347454581e+00,1.952808008912237270e+00
3.975097483081390326e+00,3.975097483081390326e+00,2.582341041220610034e+00,3.975097483081390326e+00,2.189316519887585688e+00,1.769465163456638290e+00,1.024902516918609674e+00,3.975097483081390326e+00,1.123922030511394166e+00,1.940982300018225803e+00,2.428026754351458205e+00,3.975097483081390326e+00,1.024902516918609674e+00,3.975097483081390326e+00,2.349457837255368720e+00,3.305012406199127728e+00,1.855854411763910417e+00
4.072051080229717179e+00,4.072051080229717179e+00,2.485387444072283181e+00,4.072051080229717179e+00,2.092362922739258835e+00,1.672511566308311437e+00,9.279489197702828207e-01,4.072051080229717179e+00,1.026968433363067312e+00,1.844028702869898950e+00,2.331073157203131352e+00,4.072051080229717179e+00,9.279489197702828207e-01,4.072051080229717179e+00,2.252504240107041866e+00,3.208058809050800875e+00,1.758900814615583563e+00
4.169004677378043588e+00,4.169004677378043588e+00,2.388433846923956771e+00,4.169004677378043588e+00,1.995409325590932426e+00,1.575557969159985028e+00,8.309953226219564115e-01,4.169004677378043588e+00,9.300148362147409031e-01,1.747075105721572541e+00,2.234119560054804943e+00,4.169004677378043588e+00,8.309953226219564115e-01,4.169004677378043588e+00,2.155550642958715457e+00,3.111105211902474466e+00,1.661947217467257154e+00
4.265958274526369998e+00,4.265958274526369998e+00,2.291480249775630362e+00,4.265958274526369998e+00,1.898455728442606016e+00,1.478604372011658619e+00,7.340417254736300023e-01,4.265958274526369998e+00,8.330612390664144939e-01,1.650121508573246132e+00,2.137165962906478534e+00,4.265958274526369998e+00,7.340417254736300023e-01,4.265958274526369998e+00,2.058597045810389048e+00,3.014151614754148056e+00,1.564993620318930745e+00
4.362911871674696407e+00,4.362911871674696407e+00,2.194526652627303953e+00,4.297342166169690891e+00,1.801502131294279607e+00,1.381650774863332209e+00,6.370881283253035932e-01,4.362911871674696407e+00,7.361076419180880848e-01,1.553167911424919723e+00,2.040212365758152124e+00,4.362911871674696407e+00,6.370881283253035932e-01,4.362911871674696407e+00,1.961643448662062639e+00,2.917198017605821647e+00,1.468040023170604336e+00
4.459865468823022816e+00,4.459865468823022816e+00,2.097573055478977544e+00,4.200388569021364482e+00,1.704548534145953198e+00,1.284697177715005800e+00,5.401345311769771840e-01,4.459865468823022816e+00,6.391540447697616756e-01,1.456214314276593313e+00,1.943258768609825715e+00,4.459865468823022816e+00,5.401345311769771840e-01,4.459865468823022816e+00,1.864689851513736230e+00,2.820244420457495238e+00,1.371086426022277927e+00
4.556819065971350113e+00,4.387452844027809107e+00,2.000619458330650247e+00,4.103434971873037185e+00,1.607594936997625901e+00,1.187743580566678503e+00,4.431809340286498866e-01,4.498566072166067187e+00,5.422004476214343782e-01,1.359260717128266016e+00,1.846305171461498418e+00,4.556819065971350113e+00,4.431809340286498866e-01,4.553614513172949074e+00,1.767736254365408932e+00,2.723290823309167941e+00,1.274132828873950629e+00
4.653772663119676523e+00,4.290499246879482698e+00,1.903665861182323837e+00,4.006481374724710776e+00,1.510641339849299492e+00,1.090789983418352094e+00,3.462273368803234774e-01,4.401612475017740778e+00,4.452468504731079690e-01,1.262307119979939607e+00,1.749351574313172009e+00,4.653772663119676523e+00,3.462273368803234774e-01,4.456660916024622665e+00,1.670782657217082523e+00,2.626337226160841531e+00,1.177179231725624220e+00
4.750726260268002932e+00,4.193545649731156288e+00,1.806712264033997428e+00,3.909527777576384366e+00,1.413687742700973082e+00,9.938363862700256846e-01,2.492737397319970682e-01,4.304658877869414368e+00,3.482932533247815599e-01,1.165353522831613198e+00,1.652397977164845599e+00,4.750726260268002932e+00,2.492737397319970682e-01,4.359707318876296256e+00,1.573829060068756114e+00,2.529383629012515122e+00,1.080225634577297811e+00
4.847679857416329341e+00,4.096592052582829879e+00,1.709758666885671019e+00,3.812574180428057957e+00,1.316734145552646673e+00,8.968827891216992754e-01,1.523201425836706591e-01,4.207705280721087959e+00,2.513396561764551507e-01,1.068399925683286789e+00,1.555444380016519190e+00,4.847679857416329341e+00,1.523201425836706591e-01,4.262753721727969847e+00,1.476875462920429705e+00,2.432430031864188713e+00,9.832720374289714016e-01
4.944633454564655750e+00,3.999638455434503470e+00,1.612805069737344610e+00,3.715620583279731548e+00,1.219780548404320264e+00,7.999291919733728662e-01,5.536654543534424988e-02,4.110751683572761550e+00,1.543860590281287415e-01,9.714463285349603794e-01,1.458490782868192781e+00,4.750726260268002932e+00,5.536654543534424988e-02,4.165800124579643438e+00,1.379921865772103295e+00,2.335476434715862304e+00,8.863184402806449924e-01
